category_slug,old_category_link,wp_post_count,mapped_topic,topic_confidence,new_topic_link,all_topics_breakdown
business-growth-success-psychology,https://www.synnovatia.com/category/business-growth-success-psychology/,3,Mindset & Resilience,67%,https://synnovatiacom.stage.site/topic/mindset-resilience/,"{""Mindset & Resilience"": 2, ""Ownership & Entrepreneurship"": 1}"
small-business-growth-business-coaching,https://www.synnovatia.com/category/small-business-growth-business-coaching/,3,Growth & Scaling,33%,https://synnovatiacom.stage.site/topic/growth-scaling/,"{""Growth & Scaling"": 1, ""Mindset & Resilience"": 1, ""Ownership & Entrepreneurship"": 1}"
productivity-best-practices-performance,https://www.synnovatia.com/category/productivity-best-practices-performance/,3,Ownership & Entrepreneurship,33%,https://synnovatiacom.stage.site/topic/ownership-entrepreneurship/,"{""Ownership & Entrepreneurship"": 1, ""Mindset & Resilience"": 1, ""Strategy & Planning"": 1}"
strategic-coaching-business-coaching,https://www.synnovatia.com/category/strategic-coaching-business-coaching/,3,Ownership & Entrepreneurship,100%,https://synnovatiacom.stage.site/topic/ownership-entrepreneurship/,"{""Ownership & Entrepreneurship"": 3}"
performance,https://www.synnovatia.com/category/performance/,3,Ownership & Entrepreneurship,67%,https://synnovatiacom.stage.site/topic/ownership-entrepreneurship/,"{""Ownership & Entrepreneurship"": 2, ""Mindset & Resilience"": 1}"
small-business-success-best-practices-entrepreneurship,https://www.synnovatia.com/category/small-business-success-best-practices-entrepreneurship/,3,Strategy & Planning,67%,https://synnovatiacom.stage.site/topic/strategy-planning/,"{""Strategy & Planning"": 2, ""Mindset & Resilience"": 1}"
small-business-growth-best-practices,https://www.synnovatia.com/category/small-business-growth-best-practices/,3,Growth & Scaling,100%,https://synnovatiacom.stage.site/topic/growth-scaling/,"{""Growth & Scaling"": 3}"
performance-motivation,https://www.synnovatia.com/category/performance-motivation/,3,Mindset & Resilience,100%,https://synnovatiacom.stage.site/topic/mindset-resilience/,"{""Mindset & Resilience"": 3}"
growth-strategies-best-practices-strategic-coaching,https://www.synnovatia.com/category/growth-strategies-best-practices-strategic-coaching/,3,Strategy & Planning,33%,https://synnovatiacom.stage.site/topic/strategy-planning/,"{""Strategy & Planning"": 1, ""Growth & Scaling"": 1, ""Ownership & Entrepreneurship"": 1}"
business-planning-strategic-coaching,https://www.synnovatia.com/category/business-planning-strategic-coaching/,3,Growth & Scaling,67%,https://synnovatiacom.stage.site/topic/growth-scaling/,"{""Strategy & Planning"": 1, ""Growth & Scaling"": 2}"
business-growth-mastermind-group,https://www.synnovatia.com/category/business-growth-mastermind-group/,2,Ownership & Entrepreneurship,50%,https://synnovatiacom.stage.site/topic/ownership-entrepreneurship/,"{""Ownership & Entrepreneurship"": 1, ""People & Partnerships"": 1}"
business-skills-small-business-success-performance,https://www.synnovatia.com/category/business-skills-small-business-success-performance/,2,Strategy & Planning,50%,https://synnovatiacom.stage.site/topic/strategy-planning/,"{""Strategy & Planning"": 1, ""Mindset & Resilience"": 1}"
growth-strategy-time-management-performance,https://www.synnovatia.com/category/growth-strategy-time-management-performance/,2,Strategy & Planning,50%,https://synnovatiacom.stage.site/topic/strategy-planning/,"{""Strategy & Planning"": 1, ""Mindset & Resilience"": 1}"
business-skills-growth-strategy-small-business-success,https://www.synnovatia.com/category/business-skills-growth-strategy-small-business-success/,2,Strategy & Planning,100%,https://synnovatiacom.stage.site/topic/strategy-planning/,"{""Strategy & Planning"": 2}"
mastermind-group,https://www.synnovatia.com/category/mastermind-group/,2,People & Partnerships,100%,https://synnovatiacom.stage.site/topic/people-partnerships/,"{""People & Partnerships"": 2}"
best-practices-performance-attitude,https://www.synnovatia.com/category/best-practices-performance-attitude/,2,Mindset & Resilience,100%,https://synnovatiacom.stage.site/topic/mindset-resilience/,"{""Mindset & Resilience"": 2}"
business-skills-motivation-success-psychology,https://www.synnovatia.com/category/business-skills-motivation-success-psychology/,2,Mindset & Resilience,100%,https://synnovatiacom.stage.site/topic/mindset-resilience/,"{""Mindset & Resilience"": 2}"
best-practices-attitude,https://www.synnovatia.com/category/best-practices-attitude/,2,Ownership & Entrepreneurship,50%,https://synnovatiacom.stage.site/topic/ownership-entrepreneurship/,"{""Ownership & Entrepreneurship"": 1, ""Mindset & Resilience"": 1}"
small-business-success-best-practices-success-psychology,https://www.synnovatia.com/category/small-business-success-best-practices-success-psychology/,2,Mindset & Resilience,50%,https://synnovatiacom.stage.site/topic/mindset-resilience/,"{""Mindset & Resilience"": 1, ""Ownership & Entrepreneurship"": 1}"
small-business-strategy,https://www.synnovatia.com/category/small-business-strategy/,2,Strategy & Planning,100%,https://synnovatiacom.stage.site/topic/strategy-planning/,"{""Strategy & Planning"": 2}"
best-practices-business-growth,https://www.synnovatia.com/category/best-practices-business-growth/,2,People & Partnerships,50%,https://synnovatiacom.stage.site/topic/people-partnerships/,"{""People & Partnerships"": 1, ""Sales & Marketing"": 1}"
best-practices-performance,https://www.synnovatia.com/category/best-practices-performance/,2,Strategy & Planning,50%,https://synnovatiacom.stage.site/topic/strategy-planning/,"{""Strategy & Planning"": 1, ""Ownership & Entrepreneurship"": 1}"
small-business-start-up,https://www.synnovatia.com/category/small-business-start-up/,2,Ownership & Entrepreneurship,100%,https://synnovatiacom.stage.site/topic/ownership-entrepreneurship/,"{""Ownership & Entrepreneurship"": 2}"
small-business-success,https://www.synnovatia.com/category/small-business-success/,2,Mindset & Resilience,50%,https://synnovatiacom.stage.site/topic/mindset-resilience/,"{""Mindset & Resilience"": 1, ""Growth & Scaling"": 1}"
business-vision,https://www.synnovatia.com/category/business-vision/,2,Strategy & Planning,50%,https://synnovatiacom.stage.site/topic/strategy-planning/,"{""Strategy & Planning"": 1, ""Ownership & Entrepreneurship"": 1}"
work-life-balance,https://www.synnovatia.com/category/work-life-balance/,2,Mindset & Resilience,100%,https://synnovatiacom.stage.site/topic/mindset-resilience/,"{""Mindset & Resilience"": 2}"
strategic-business-coaching,https://www.synnovatia.com/category/strategic-business-coaching/,2,Ownership & Entrepreneurship,50%,https://synnovatiacom.stage.site/topic/ownership-entrepreneurship/,"{""Ownership & Entrepreneurship"": 1, ""Mindset & Resilience"": 1}"
performance-attitude,https://www.synnovatia.com/category/performance-attitude/,2,Mindset & Resilience,100%,https://synnovatiacom.stage.site/topic/mindset-resilience/,"{""Mindset & Resilience"": 2}"
small-business-growth-small-business-success,https://www.synnovatia.com/category/small-business-growth-small-business-success/,2,Strategy & Planning,50%,https://synnovatiacom.stage.site/topic/strategy-planning/,"{""Strategy & Planning"": 1, ""Growth & Scaling"": 1}"
small-business-growth-performance,https://www.synnovatia.com/category/small-business-growth-performance/,2,Mindset & Resilience,50%,https://synnovatiacom.stage.site/topic/mindset-resilience/,"{""Mindset & Resilience"": 1, ""Growth & Scaling"": 1}"
small-business-success-human-resources,https://www.synnovatia.com/category/small-business-success-human-resources/,2,People & Partnerships,100%,https://synnovatiacom.stage.site/topic/people-partnerships/,"{""People & Partnerships"": 2}"
women-in-business,https://www.synnovatia.com/category/women-in-business/,2,Ownership & Entrepreneurship,100%,https://synnovatiacom.stage.site/topic/ownership-entrepreneurship/,"{""Ownership & Entrepreneurship"": 2}"
small-business-strategist-small-business-success-strategic-coaching,https://www.synnovatia.com/category/small-business-strategist-small-business-success-strategic-coaching/,2,Ownership & Entrepreneurship,100%,https://synnovatiacom.stage.site/topic/ownership-entrepreneurship/,"{""Ownership & Entrepreneurship"": 2}"
inbound-marketing-small-business-blogging-lead-generation,https://www.synnovatia.com/category/inbound-marketing-small-business-blogging-lead-generation/,2,Sales & Marketing,100%,https://synnovatiacom.stage.site/topic/sales-marketing/,"{""Sales & Marketing"": 2}"
inbound-marketing-client-acquisition-lead-generation,https://www.synnovatia.com/category/inbound-marketing-client-acquisition-lead-generation/,2,Sales & Marketing,100%,https://synnovatiacom.stage.site/topic/sales-marketing/,"{""Sales & Marketing"": 2}"
client-acquisition-marketing-lead-generation,https://www.synnovatia.com/category/client-acquisition-marketing-lead-generation/,2,Sales & Marketing,100%,https://synnovatiacom.stage.site/topic/sales-marketing/,"{""Sales & Marketing"": 2}"
small-business-growth-vendors-entrepreneurship,https://www.synnovatia.com/category/small-business-growth-vendors-entrepreneurship/,2,People & Partnerships,100%,https://synnovatiacom.stage.site/topic/people-partnerships/,"{""People & Partnerships"": 2}"
sales-client-acquisition-marketing,https://www.synnovatia.com/category/sales-client-acquisition-marketing/,2,Sales & Marketing,50%,https://synnovatiacom.stage.site/topic/sales-marketing/,"{""Sales & Marketing"": 1, ""People & Partnerships"": 1}"
best-practices-client-acquisition-client-service,https://www.synnovatia.com/category/best-practices-client-acquisition-client-service/,2,Sales & Marketing,100%,https://synnovatiacom.stage.site/topic/sales-marketing/,"{""Sales & Marketing"": 2}"
vendors-growth-strategies-small-business-success,https://www.synnovatia.com/category/vendors-growth-strategies-small-business-success/,2,People & Partnerships,100%,https://synnovatiacom.stage.site/topic/people-partnerships/,"{""People & Partnerships"": 2}"
small-business-growth-small-business-success-growth-advisor,https://www.synnovatia.com/category/small-business-growth-small-business-success-growth-advisor/,2,Growth & Scaling,50%,https://synnovatiacom.stage.site/topic/growth-scaling/,"{""Growth & Scaling"": 1, ""People & Partnerships"": 1}"
small-business-growth-small-business-success-motivation,https://www.synnovatia.com/category/small-business-growth-small-business-success-motivation/,2,Growth & Scaling,50%,https://synnovatiacom.stage.site/topic/growth-scaling/,"{""Growth & Scaling"": 1, ""Mindset & Resilience"": 1}"
small-business-success-entrepreneurship-success-psychology,https://www.synnovatia.com/category/small-business-success-entrepreneurship-success-psychology/,2,Mindset & Resilience,50%,https://synnovatiacom.stage.site/topic/mindset-resilience/,"{""Mindset & Resilience"": 1, ""Strategy & Planning"": 1}"
small-business-growth-best-practices-business-planning,https://www.synnovatia.com/category/small-business-growth-best-practices-business-planning/,2,Strategy & Planning,100%,https://synnovatiacom.stage.site/topic/strategy-planning/,"{""Strategy & Planning"": 2}"
small-business-growth-business-planning,https://www.synnovatia.com/category/small-business-growth-business-planning/,2,Strategy & Planning,100%,https://synnovatiacom.stage.site/topic/strategy-planning/,"{""Strategy & Planning"": 2}"
work-life-balance-productivity-time-management,https://www.synnovatia.com/category/work-life-balance-productivity-time-management/,2,Mindset & Resilience,100%,https://synnovatiacom.stage.site/topic/mindset-resilience/,"{""Mindset & Resilience"": 2}"
productivity-growth-strategies-performance,https://www.synnovatia.com/category/productivity-growth-strategies-performance/,2,Strategy & Planning,50%,https://synnovatiacom.stage.site/topic/strategy-planning/,"{""Strategy & Planning"": 1, ""Mindset & Resilience"": 1}"
productivity-performance-motivation,https://www.synnovatia.com/category/productivity-performance-motivation/,2,People & Partnerships,50%,https://synnovatiacom.stage.site/topic/people-partnerships/,"{""People & Partnerships"": 1, ""Mindset & Resilience"": 1}"
